,Date,Action,Ticker,Quantity,Price,Cash
0,2017-01-31,BUY,GLD,1423,113.97000122070312,837820.6882629395
1,2017-01-31,BUY,SPY,2024,199.31219482421875,434412.8059387207
2,2017-01-31,BUY,TLT,4458,97.37831115722656,300.2947998046875
3,2017-02-28,SELL,SPY,1323,207.6858367919922,275068.65687561035
4,2017-02-28,BUY,GLD,127,119.12000274658203,259940.41652679443
5,2017-02-28,BUY,TLT,2619,99.24156188964844,26.76593780517578
6,2017-03-31,SELL,TLT,204,98.67027282714844,20155.501594543457
7,2017-03-31,BUY,GLD,57,118.47000122070312,13402.711524963379
8,2017-03-31,BUY,SPY,64,207.8679962158203,99.1597671508789
9,2017-04-28,SELL,TLT,890,100.29222106933594,89359.23651885986
10,2017-04-28,BUY,GLD,256,120.38999938964844,58539.39667510986
11,2017-04-28,BUY,SPY,278,209.90016174316406,187.1517105102539
12,2017-05-31,SELL,SPY,81,212.45130920410156,17395.70775604248
13,2017-05-31,SELL,TLT,435,102.15637969970703,61833.73292541504
14,2017-05-31,BUY,GLD,514,120.13999938964844,81.77323913574219
15,2017-06-30,SELL,SPY,9,213.35476684570312,2001.9661407470703
16,2017-06-30,SELL,TLT,1130,103.46177673339844,118913.7738494873
17,2017-06-30,BUY,GLD,1005,118.31999969482422,2.1741561889648438
18,2017-07-31,SELL,SPY,116,218.2698516845703,25321.47695159912
19,2017-07-31,SELL,TLT,74,102.41900634765625,32900.48342132568
20,2017-07-31,BUY,GLD,272,120.69000244140625,72.8027572631836
21,2017-08-31,SELL,GLD,36,124.36000061035156,4549.76277923584
22,2017-08-31,SELL,TLT,94,105.72360229492188,14487.781394958496
23,2017-08-31,BUY,SPY,66,217.47421264648438,134.48336029052734
24,2017-09-29,SELL,GLD,268,122.20999908447266,32886.7631149292
25,2017-09-29,BUY,SPY,13,222.40911865234375,29995.44457244873
26,2017-09-29,BUY,TLT,288,103.34275817871094,232.73021697998047
27,2017-10-31,SELL,SPY,144,228.0948486328125,33078.38842010498
28,2017-10-31,BUY,GLD,127,121.12999725341797,17694.8787689209
29,2017-10-31,BUY,TLT,170,103.50199890136719,99.53895568847656
30,2017-11-30,SELL,SPY,92,233.38963317871094,21571.385208129883
31,2017-11-30,SELL,TLT,25,104.6549072265625,24187.757888793945
32,2017-11-30,BUY,GLD,198,122.04000091552734,23.83770751953125
33,2017-12-29,SELL,SPY,96,239.19009399414062,22986.08673095703
34,2017-12-29,SELL,TLT,145,106.0279541015625,38360.140075683594
35,2017-12-29,BUY,GLD,312,122.8499984741211,30.9405517578125
36,2018-01-31,SELL,GLD,249,126.80000305175781,31604.141311645508
37,2018-01-31,SELL,SPY,132,251.593017578125,64814.41963195801
38,2018-01-31,BUY,TLT,634,102.13538360595703,60.58642578125
39,2018-02-28,SELL,GLD,469,125.12999725341797,58746.55513763428
40,2018-02-28,SELL,SPY,37,245.0477752685547,67813.3228225708
41,2018-02-28,BUY,TLT,685,98.9842529296875,9.109565734863281
42,2018-03-30,SELL,GLD,377,125.79000091552734,47431.93991088867
43,2018-03-30,SELL,SPY,52,235.91656494140625,59699.6012878418
44,2018-03-30,BUY,TLT,582,102.46199035644531,66.722900390625
45,2018-04-30,SELL,GLD,362,125.5,45497.722900390625
46,2018-04-30,BUY,SPY,9,238.97366333007812,43346.95993041992
47,2018-04-30,BUY,TLT,430,100.14556884765625,284.3653259277344
48,2018-05-31,SELL,TLT,6868,102.50216674804688,704269.2465515137
49,2018-05-31,BUY,GLD,4554,123.37000274658203,142442.2540435791
50,2018-05-31,BUY,SPY,582,244.3975830078125,202.86073303222656
51,2018-06-29,SELL,SPY,39,243.9460906982422,9716.758270263672
52,2018-06-29,BUY,GLD,82,118.22000122070312,22.718170166015625
53,2018-07-31,SELL,GLD,23,115.6500015258789,2682.6682052612305
54,2018-07-31,SELL,TLT,1,100.96305084228516,2783.6312561035156
55,2018-07-31,BUY,SPY,11,252.10494995117188,10.476806640625
56,2018-08-31,SELL,SPY,926,261.4254455566406,242090.43939208984
57,2018-08-31,BUY,GLD,2130,113.63999938964844,37.240692138671875
58,2018-10-31,SELL,GLD,6276,115.80000305175781,726798.0598449707
59,2018-10-31,BUY,SPY,878,242.22801208496094,514121.865234375
60,2018-10-31,BUY,TLT,5274,97.46794128417969,75.94290161132812
61,2018-11-30,SELL,TLT,523,98.33781433105469,51506.61979675293
62,2018-11-30,BUY,GLD,163,115.73999786376953,32641.000144958496
63,2018-11-30,BUY,SPY,131,247.845703125,173.2130355834961
64,2018-12-22,SELL,SPY,1009,219.01165771484375,221155.97566986084
65,2018-12-31,SELL,GLD,358,121.05999755859375,264495.4547958374
66,2018-12-31,BUY,SPY,926,225.4264373779297,55750.57378387451
67,2018-12-31,BUY,TLT,533,104.08807373046875,271.63048553466797
68,2019-01-31,SELL,SPY,72,243.46961975097656,17801.44310760498
69,2019-01-31,BUY,GLD,141,124.69000244140625,220.15276336669922
70,2019-01-31,BUY,TLT,2,103.98487091064453,12.183021545410156
71,2019-02-28,SELL,TLT,156,103.7889633178711,16203.2612991333
72,2019-02-28,BUY,GLD,94,124.69000244140625,4482.401069641113
73,2019-02-28,BUY,SPY,17,254.04269409179688,163.6752700805664
74,2019-03-29,SELL,TLT,513,109.30232238769531,56235.76665496826
75,2019-03-29,BUY,GLD,408,121.9000015258789,6500.566032409668
76,2019-03-29,BUY,SPY,25,256.5416564941406,87.02462005615234
77,2019-04-30,SELL,SPY,106,268.5686340332031,28555.299827575684
78,2019-04-30,SELL,TLT,142,106.47914123535156,43675.337882995605
79,2019-04-30,BUY,GLD,361,120.83000183105469,55.70722198486328
80,2019-05-31,SELL,TLT,534,112.9302978515625,60360.48627471924
81,2019-05-31,BUY,GLD,367,121.69000244140625,15700.255378723145
82,2019-05-31,BUY,SPY,61,255.00631713867188,144.87003326416016
83,2019-06-28,SELL,GLD,214,132.83999633789062,28572.629249572754
84,2019-06-28,SELL,TLT,29,115.50875091552734,31922.383026123047
85,2019-06-28,BUY,SPY,119,267.6982421875,66.29220581054688
86,2019-07-31,SELL,GLD,337,134.97999572753906,45554.55076599121
87,2019-07-31,SELL,SPY,7,276.1654357910156,47487.70881652832
88,2019-07-31,BUY,TLT,413,114.80352020263672,73.85497283935547
89,2019-08-30,SELL,GLD,196,144.1199951171875,28321.374015808105
90,2019-08-30,SELL,TLT,514,128.47848510742188,94359.31536102295
91,2019-08-30,BUY,SPY,351,268.6901550292969,49.070945739746094
92,2019-09-30,SELL,SPY,44,272.53265380859375,12040.507713317871
93,2019-09-30,BUY,GLD,20,141.05999755859375,9219.307762145996
94,2019-09-30,BUY,TLT,73,124.76338958740234,111.580322265625
95,2019-10-31,SELL,GLD,22,141.02000427246094,3214.0204162597656
96,2019-10-31,SELL,SPY,58,280.5960693359375,19488.59243774414
97,2019-10-31,BUY,TLT,159,122.03083038330078,85.6904067993164
98,2019-11-29,SELL,SPY,156,291.0581970214844,45490.76914215088
99,2019-11-29,BUY,GLD,187,137.00999450683594,19869.90016937256
100,2019-11-29,BUY,TLT,160,123.43672180175781,120.0246810913086
101,2019-12-31,SELL,GLD,151,142.6300048828125,21657.155418395996
102,2019-12-31,BUY,SPY,17,297.6810607910156,16596.57738494873
103,2019-12-31,BUY,TLT,137,120.41439056396484,99.80587768554688
104,2020-01-31,SELL,GLD,231,148.47000122070312,34396.37615966797
105,2020-01-31,SELL,SPY,11,303.80023193359375,37738.1787109375
106,2020-01-31,BUY,TLT,296,127.24385070800781,73.9989013671875
107,2020-02-28,SELL,GLD,200,154.0,30873.998901367188
108,2020-02-28,BUY,SPY,76,275.8288879394531,9911.00341796875
109,2020-02-28,BUY,TLT,73,133.8906707763672,136.9844512939453
110,2020-03-13,SELL,SPY,1138,230.02883911132812,261909.80335998535
111,2020-03-31,SELL,GLD,39,152.9199981689453,267873.6832885742
112,2020-03-31,SELL,TLT,519,146.8368682861328,344082.01792907715
113,2020-03-31,BUY,SPY,1410,244.00856018066406,29.948074340820312
114,2020-04-30,SELL,GLD,11,161.72999572753906,1808.97802734375
115,2020-04-30,SELL,TLT,128,149.16200256347656,20901.71435546875
116,2020-04-30,BUY,SPY,76,273.44073486328125,120.218505859375
117,2020-05-29,SELL,TLT,92,143.79598999023438,13349.449584960938
118,2020-05-29,BUY,GLD,16,161.72000122070312,10761.929565429688
119,2020-05-29,BUY,SPY,37,282.54254150390625,307.85552978515625
120,2020-06-30,SELL,GLD,39,166.6300048828125,6806.425720214844
121,2020-06-30,BUY,SPY,4,285.1816711425781,5665.699035644531
122,2020-06-30,BUY,TLT,37,146.01959228515625,262.97412109375
123,2020-07-31,SELL,GLD,295,183.75999450683594,54472.17250061035
124,2020-07-31,SELL,SPY,20,303.4468688964844,60541.10987854004
125,2020-07-31,BUY,TLT,398,151.85272216796875,103.72645568847656
126,2020-08-31,SELL,GLD,285,184.38999938964844,52654.87628173828
127,2020-08-31,SELL,SPY,146,328.38128662109375,100598.54412841797
128,2020-08-31,BUY,TLT,702,143.14608764648438,109.9906005859375
129,2020-09-30,SELL,GLD,35,178.19000244140625,6346.640686035156
130,2020-09-30,SELL,SPY,21,312.570556640625,12910.622375488281
131,2020-09-30,BUY,TLT,88,146.6165771484375,8.36358642578125
132,2020-10-30,SELL,GLD,101,175.39999389648438,17723.762969970703
133,2020-10-30,SELL,SPY,129,310.322998046875,57755.42971801758
134,2020-10-30,BUY,TLT,407,141.693359375,86.23245239257812
135,2020-11-30,SELL,SPY,278,342.00604248046875,95163.91226196289
136,2020-11-30,BUY,GLD,113,167.7899932861328,76203.64302062988
137,2020-11-30,BUY,TLT,533,142.80809020996094,86.93093872070312
138,2020-12-31,SELL,GLD,198,177.6999969482422,35271.530334472656
139,2020-12-31,SELL,SPY,243,351.3215637207031,120642.67031860352
140,2020-12-31,BUY,TLT,857,140.67347717285156,85.50038146972656
