,Date,Action,Ticker,Quantity,Price,Cash
0,2022-01-31,BUY,GLD,1863,167.10000610351562,688692.6886291504
1,2022-01-31,BUY,TLT,5304,129.81056213378906,177.46707153320312
2,2022-02-28,SELL,TLT,982,124.30595397949219,122245.91387939453
3,2022-02-28,BUY,GLD,598,176.5500030517578,16669.01205444336
4,2022-02-28,BUY,SPY,39,418.9388122558594,330.39837646484375
5,2022-03-31,SELL,GLD,234,180.5800018310547,42586.11880493164
6,2022-03-31,SELL,TLT,159,119.8235092163086,61638.05677032471
7,2022-03-31,BUY,SPY,139,440.35223388671875,429.0962600708008
8,2022-04-07,SELL,TLT,4163,116.08150482177734,483676.4008331299
9,2022-04-29,BUY,GLD,650,176.92999267578125,368671.90559387207
10,2022-04-29,BUY,SPY,38,410.6978454589844,353065.38746643066
11,2022-04-29,BUY,TLT,3200,110.22508239746094,345.12379455566406
12,2022-05-31,SELL,SPY,215,398.64984130859375,86054.83967590332
13,2022-05-31,SELL,TLT,386,108.64274597167969,127990.93962097168
14,2022-05-31,BUY,GLD,740,172.85000610351562,81.93510437011719
15,2022-06-14,SELL,SPY,1,360.0002136230469,441.93531799316406
16,2022-06-30,SELL,TLT,881,104.07423400878906,92131.33547973633
17,2022-06-30,BUY,GLD,543,169.49000549316406,98.26249694824219
18,2022-07-29,SELL,GLD,199,163.63999938964844,32662.62237548828
19,2022-07-29,BUY,TLT,302,107.83355712890625,96.88812255859375
20,2022-08-31,SELL,GLD,2,160.50999450683594,417.9081115722656
21,2022-08-31,BUY,TLT,4,103.63491821289062,3.368438720703125
22,2022-09-27,SELL,GLD,3959,151.22999572753906,598722.9215240479
23,2022-09-28,SELL,TLT,2239,92.81214904785156,806529.3232421875
24,2022-09-30,BUY,GLD,3799,154.66000366210938,218975.96932983398
25,2022-09-30,BUY,TLT,2293,95.4231948852539,170.58345794677734
26,2022-10-22,SELL,TLT,2293,85.86378479003906,197056.24198150635
27,2022-10-31,BUY,GLD,508,153.16000366210938,119250.96012115479
28,2022-10-31,BUY,TLT,1335,89.20914459228516,156.75209045410156
29,2022-11-30,SELL,TLT,835,94.21428680419922,78825.68157196045
30,2022-11-30,BUY,GLD,484,162.72999572753906,64.36363983154297
31,2022-12-30,SELL,TLT,64,93.46024322509766,6045.819206237793
32,2022-12-30,BUY,GLD,35,168.85000610351562,136.0689926147461
33,2023-01-31,SELL,GLD,1326,178.75999450683594,237171.8217086792
34,2023-01-31,BUY,TLT,2403,98.69580841064453,5.794097900390625
35,2023-02-28,SELL,GLD,1382,169.00999450683594,233577.60650634766
36,2023-02-28,BUY,TLT,2478,94.2311782836914,72.74671936035156
37,2023-03-31,SELL,GLD,857,184.17999267578125,157915.00044250488
38,2023-03-31,BUY,TLT,1615,97.77542877197266,7.682975769042969
39,2023-04-28,SELL,GLD,293,184.75,54139.43297576904
40,2023-04-28,BUY,TLT,552,97.99526977539062,46.04405975341797
41,2023-05-31,SELL,GLD,237,182.0399932861328,43189.522468566895
42,2023-05-31,BUY,TLT,451,95.73892211914062,11.268592834472656
43,2023-06-30,SELL,GLD,47,177.08999633789062,8334.498420715332
44,2023-06-30,BUY,TLT,87,95.65489959716797,12.52215576171875
45,2023-07-31,SELL,GLD,531,181.86000061035156,96580.1824798584
46,2023-07-31,BUY,TLT,1026,94.09446716308594,39.25917053222656
47,2023-08-31,SELL,GLD,152,180.32000732421875,27447.900283813477
48,2023-08-31,BUY,SPY,38,441.9410400390625,10654.140762329102
49,2023-08-31,BUY,TLT,116,90.95060729980469,103.87031555175781
50,2023-09-29,SELL,TLT,219,84.08367156982422,18518.19438934326
51,2023-09-29,BUY,SPY,43,421.3843994140625,398.6652145385742
52,2023-10-04,SELL,TLT,8945,80.90672302246094,724109.3026504517
53,2023-10-31,BUY,GLD,713,185.10000610351562,592132.998298645
54,2023-10-31,BUY,SPY,77,408.6697082519531,560665.4307632446
55,2023-10-31,BUY,TLT,7017,79.88897705078125,84.47879791259766
56,2023-11-30,SELL,SPY,10,447.03997802734375,4554.878578186035
57,2023-11-30,SELL,TLT,1467,88.40962982177734,134251.8055267334
58,2023-11-30,BUY,GLD,708,189.5399932861328,57.49028015136719
59,2023-12-29,SELL,SPY,51,470.65277099609375,24060.78160095215
60,2023-12-29,SELL,TLT,655,95.84321594238281,86838.08804321289
61,2023-12-29,BUY,GLD,453,191.47000122070312,102.177490234375
62,2022-01-04,SELL,GLD,1875,168.3300018310547,315720.9309234619
63,2022-01-31,SELL,SPY,96,422.9582824707031,356324.9260406494
64,2022-01-31,BUY,GLD,1849,167.10000610351562,47357.01475524902
65,2022-01-31,BUY,TLT,364,129.81056213378906,105.97013854980469
66,2022-02-28,SELL,TLT,971,124.30595397949219,120807.05145263672
67,2022-02-28,BUY,GLD,593,176.5500030517578,16112.899642944336
