,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104730606079,10137.269721746445
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.61345648765564
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49143.990099430084
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.5818238258361816
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.20815896988
5,2019-03-29,SELL,NVDA,25169,4.400113105773926,162996.65491819382
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.952195644378662
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.5050520897
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.6615204811
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.18154764175415
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.8727259636
11,2019-05-31,BUY,NVDA,38294,3.4572553634643555,66084.73583745956
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,6.96606969833374
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52300.08588171005
14,2019-06-28,BUY,NVDA,12892,4.056701183319092,1.094226360321045
15,2019-07-31,SELL,NVDA,931,4.3604021072387695,4060.6285881996155
16,2019-07-31,BUY,TSLA,251,16.150667190551758,6.811123371124268
17,2019-08-16,SELL,TSLA,1997,14.37600040435791,28715.68393087387
18,2019-08-30,BUY,NVDA,355,4.154504776000977,27240.834735393524
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,14.84555959701538
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8770.059886455536
21,2019-09-30,BUY,TSLA,543,16.142000198364258,4.9537787437438965
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19514.573953151703
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15725.723794460297
24,2019-10-31,BUY,NVDA,3061,5.05008602142334,267.41048288345337
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32424.627127170563
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28633.467215061188
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,206.84817361831665
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1176.778166294098
29,2019-12-31,SELL,NVDA,11760,5.783752918243408,69193.71248483658
30,2019-12-31,BUY,CSCO,1699,40.72335433959961,4.733461856842041
