,Date,Action,Ticker,Quantity,Price,Cash
0,2017-01-31,BUY,GLD,1423,113.97000122070312,837820.6882629395
1,2017-01-31,BUY,SPY,2024,199.3121795654297,434412.83682250977
2,2017-01-31,BUY,TLT,4458,97.37830352783203,300.3596954345703
3,2017-02-28,SELL,SPY,1323,207.6858673095703,275068.7621459961
4,2017-02-28,BUY,GLD,127,119.12000274658203,259940.52179718018
5,2017-02-28,BUY,TLT,2619,99.24156951904297,26.851226806640625
6,2017-03-31,SELL,TLT,204,98.67032623291016,20155.597778320312
7,2017-03-31,BUY,GLD,57,118.47000122070312,13402.807708740234
8,2017-03-31,BUY,SPY,64,207.86801147460938,99.25497436523438
9,2017-04-28,SELL,TLT,890,100.2922134399414,89359.32493591309
10,2017-04-28,BUY,GLD,256,120.38999938964844,58539.485092163086
11,2017-04-28,BUY,SPY,278,209.90011596679688,187.2528533935547
12,2017-05-31,SELL,SPY,81,212.45130920410156,17395.80889892578
13,2017-05-31,SELL,TLT,435,102.15635681152344,61833.82411193848
14,2017-05-31,BUY,GLD,514,120.13999938964844,81.86442565917969
15,2017-06-30,SELL,SPY,9,213.35476684570312,2002.0573272705078
16,2017-06-30,SELL,TLT,1130,103.46177673339844,118913.86503601074
17,2017-06-30,BUY,GLD,1005,118.31999969482422,2.2653427124023438
18,2017-07-31,SELL,SPY,116,218.26983642578125,25321.566368103027
19,2017-07-31,SELL,TLT,74,102.41899871826172,32900.572273254395
20,2017-07-31,BUY,GLD,272,120.69000244140625,72.89160919189453
21,2017-08-31,SELL,GLD,36,124.36000061035156,4549.851631164551
22,2017-08-31,SELL,TLT,94,105.72358703613281,14487.868812561035
23,2017-08-31,BUY,SPY,66,217.47422790527344,134.56977081298828
24,2017-09-29,SELL,GLD,268,122.20999908447266,32886.84952545166
25,2017-09-29,BUY,SPY,13,222.4091339111328,29995.530784606934
26,2017-09-29,BUY,TLT,288,103.34275817871094,232.8164291381836
27,2017-10-31,SELL,SPY,144,228.09483337402344,33078.47243499756
28,2017-10-31,BUY,GLD,127,121.12999725341797,17694.962783813477
29,2017-10-31,BUY,TLT,170,103.50200653076172,99.62167358398438
30,2017-11-30,SELL,SPY,92,233.38966369628906,21571.470733642578
31,2017-11-30,SELL,TLT,25,104.65489196777344,24187.843032836914
32,2017-11-30,BUY,GLD,198,122.04000091552734,23.9228515625
33,2017-12-29,SELL,SPY,96,239.19015502929688,22986.177734375
34,2017-12-29,SELL,TLT,145,106.02794647216797,38360.229972839355
35,2017-12-29,BUY,GLD,312,122.8499984741211,31.03044891357422
36,2018-01-31,SELL,GLD,249,126.80000305175781,31604.23120880127
37,2018-01-31,SELL,SPY,132,251.59303283691406,64814.511543273926
38,2018-01-31,BUY,TLT,634,102.13542175292969,60.654151916503906
39,2018-02-28,SELL,GLD,469,125.12999725341797,58746.62286376953
40,2018-02-28,SELL,SPY,37,245.04774475097656,67813.38941955566
41,2018-02-28,BUY,TLT,685,98.98426818847656,9.16571044921875
42,2018-03-30,SELL,GLD,377,125.79000091552734,47431.99605560303
43,2018-03-30,SELL,SPY,52,235.91665649414062,59699.66219329834
44,2018-03-30,BUY,TLT,582,102.46199798583984,66.77936553955078
45,2018-04-30,SELL,GLD,362,125.5,45497.77936553955
46,2018-04-30,BUY,SPY,9,238.97373962402344,43347.01570892334
47,2018-04-30,BUY,TLT,430,100.14554595947266,284.43094635009766
48,2018-05-31,SELL,TLT,6869,102.50215148925781,704371.709526062
49,2018-05-31,BUY,GLD,4554,123.37000274658203,142544.71701812744
50,2018-05-31,BUY,SPY,583,244.39756774902344,60.935020446777344
51,2018-06-29,SELL,SPY,40,243.9460906982422,9818.778648376465
52,2018-06-29,BUY,GLD,83,118.22000122070312,6.518547058105469
53,2018-07-31,SELL,GLD,24,115.6500015258789,2782.118583679199
54,2018-07-31,BUY,SPY,11,252.10496520996094,8.963966369628906
55,2018-08-31,SELL,SPY,926,261.4254455566406,242088.92655181885
56,2018-08-31,BUY,GLD,2130,113.63999938964844,35.72785186767578
57,2018-10-31,SELL,GLD,6276,115.80000305175781,726796.5470046997
58,2018-10-31,BUY,SPY,878,242.22805786132812,514120.3122024536
59,2018-10-31,BUY,TLT,5274,97.46797180175781,74.22891998291016
60,2018-11-30,SELL,TLT,523,98.33786010742188,51504.92975616455
61,2018-11-30,BUY,GLD,163,115.73999786376953,32639.310104370117
62,2018-11-30,BUY,SPY,131,247.8456268310547,171.53298950195312
63,2018-12-22,SELL,SPY,1009,219.0116729736328,221154.31101989746
64,2018-12-31,SELL,GLD,358,121.05999755859375,264493.790145874
65,2018-12-31,BUY,SPY,926,225.4264373779297,55748.90913391113
66,2018-12-31,BUY,TLT,533,104.08808135986328,269.9617691040039
67,2019-01-31,SELL,SPY,72,243.46958923339844,17799.77219390869
68,2019-01-31,BUY,GLD,141,124.69000244140625,218.48184967041016
69,2019-01-31,BUY,TLT,2,103.98485565185547,10.512138366699219
70,2019-02-28,SELL,TLT,156,103.78893280029297,16201.585655212402
71,2019-02-28,BUY,GLD,94,124.69000244140625,4480.725425720215
72,2019-02-28,BUY,SPY,17,254.04263305664062,162.00066375732422
73,2019-03-29,SELL,TLT,513,109.30230712890625,56234.08422088623
74,2019-03-29,BUY,GLD,408,121.9000015258789,6498.883598327637
75,2019-03-29,BUY,SPY,25,256.54156494140625,85.34447479248047
76,2019-04-30,SELL,SPY,106,268.5685729980469,28553.61321258545
77,2019-04-30,SELL,TLT,142,106.47914123535156,43673.65126800537
78,2019-04-30,BUY,GLD,361,120.83000183105469,54.020606994628906
79,2019-05-31,SELL,TLT,534,112.9302749633789,60358.787437438965
80,2019-05-31,BUY,GLD,367,121.69000244140625,15698.556541442871
81,2019-05-31,BUY,SPY,61,255.0062255859375,143.1767807006836
82,2019-06-28,SELL,GLD,214,132.83999633789062,28570.935997009277
83,2019-06-28,SELL,TLT,29,115.50870513916016,31920.688446044922
84,2019-06-28,BUY,SPY,119,267.69830322265625,64.59036254882812
85,2019-07-31,SELL,GLD,337,134.97999572753906,45552.84892272949
86,2019-07-31,SELL,SPY,7,276.1654357910156,47486.0069732666
87,2019-07-31,BUY,TLT,413,114.80352020263672,72.15312957763672
88,2019-08-30,SELL,GLD,196,144.1199951171875,28319.672172546387
89,2019-08-30,SELL,TLT,514,128.47845458984375,94357.59783172607
90,2019-08-30,BUY,SPY,351,268.69012451171875,47.36412811279297
91,2019-09-30,SELL,SPY,44,272.53265380859375,12038.800895690918
92,2019-09-30,BUY,GLD,20,141.05999755859375,9217.600944519043
93,2019-09-30,BUY,TLT,73,124.76339721679688,109.8729476928711
94,2019-10-31,SELL,GLD,22,141.02000427246094,3212.3130416870117
95,2019-10-31,SELL,SPY,58,280.59600830078125,19486.881523132324
96,2019-10-31,BUY,TLT,159,122.03082275390625,83.98070526123047
97,2019-11-29,SELL,SPY,156,291.0582275390625,45489.06420135498
98,2019-11-29,BUY,GLD,187,137.00999450683594,19868.19522857666
99,2019-11-29,BUY,TLT,160,123.43670654296875,118.32218170166016
