,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104730606079,10137.269721746445
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.61345648765564
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49143.990099430084
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.5818238258361816
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.20815896988
5,2019-03-29,SELL,NVDA,25169,4.400113105773926,162996.65491819382
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.952195644378662
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.5050520897
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.6615204811
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.18154764175415
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.8727259636
11,2019-05-31,BUY,NVDA,38294,3.4572553634643555,66084.73583745956
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,6.96606969833374
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52300.08588171005
14,2019-06-28,BUY,NVDA,12892,4.056701183319092,1.094226360321045
15,2019-07-31,SELL,NVDA,931,4.3604021072387695,4060.6285881996155
16,2019-07-31,BUY,TSLA,251,16.150667190551758,6.811123371124268
17,2019-08-16,SELL,TSLA,1997,14.37600040435791,28715.68393087387
18,2019-08-30,BUY,NVDA,355,4.154504776000977,27240.834735393524
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,14.84555959701538
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8770.059886455536
21,2019-09-30,BUY,TSLA,543,16.142000198364258,4.9537787437438965
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19514.573953151703
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15725.723794460297
24,2019-10-31,BUY,NVDA,3061,5.05008602142334,267.41048288345337
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32424.627127170563
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28633.467215061188
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,206.84817361831665
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1176.778166294098
29,2019-12-31,SELL,NVDA,11760,5.783752918243408,69193.71248483658
30,2019-12-31,BUY,CSCO,1699,40.72335433959961,4.733461856842041
31,2019-06-04,SELL,NVDA,279232,3.3247904777526855,928392.6281456947
32,2019-06-28,SELL,CSCO,1698,47.03355026245117,1008255.5964913368
33,2019-06-28,SELL,NFLX,22,370.0199890136719,1016396.0362496376
34,2019-06-28,BUY,NVDA,250547,4.056702613830566,1.366462230682373
35,2019-07-31,SELL,NVDA,977,4.360400199890137,4261.477457523346
36,2019-07-31,BUY,NFLX,13,325.92999267578125,24.387552738189697
37,2019-08-24,SELL,NFLX,13,291.44000244140625,3813.107584476471
38,2019-08-30,SELL,CSCO,1,40.14545440673828,3853.2530388832092
39,2019-08-30,BUY,NFLX,6,296.7799987792969,2072.573046207428
40,2019-08-30,BUY,NVDA,478,4.154504776000977,86.71976327896118
41,2019-09-24,SELL,NFLX,6,265.9200134277344,1682.2398438453674
42,2019-09-30,SELL,NVDA,696,4.272920608520508,4656.192587375641
43,2019-09-30,BUY,NFLX,17,263.0799865722656,183.83281564712524
44,2019-10-31,SELL,NVDA,5708,5.0500874519348145,29009.731991291046
45,2019-10-31,BUY,CSCO,684,40.697696685791016,1172.5074582099915
46,2019-10-31,BUY,NFLX,4,291.45001220703125,6.707409381866455
47,2019-11-29,SELL,NFLX,20,315.92999267578125,6325.3072628974915
48,2019-11-29,SELL,NVDA,17522,5.43322229385376,101526.22829580307
49,2019-11-29,BUY,CSCO,2622,38.71243667602539,22.21933126449585
50,2019-12-31,SELL,NVDA,6271,5.783752918243408,36292.13388156891
51,2019-12-31,BUY,CSCO,891,40.72336196899414,7.6183671951293945
52,2019-01-03,SELL,NVDA,219851,3.3780901432037354,742684.1144406796
53,2019-01-03,SELL,CSCO,4197,35.743019104003906,892697.565620184
54,2019-01-31,BUY,NVDA,259454,3.407104730606079,8710.614845514297
55,2019-01-31,BUY,TSLA,423,20.584667205810547,3.3006174564361572
56,2019-02-28,SELL,NFLX,1,362.8699951171875,366.17061257362366
57,2019-02-28,SELL,NVDA,11382,3.8539788722991943,44232.15813708305
58,2019-02-28,BUY,TSLA,2108,20.982667922973633,0.6941554546356201
59,2019-03-06,SELL,TSLA,2531,18.43600082397461,46662.21224093437
60,2019-03-29,SELL,NVDA,22477,4.400113105773926,145563.5545194149
61,2019-03-29,BUY,TSLA,7836,18.57466697692871,12.464088201522827
62,2019-04-26,SELL,TSLA,7836,16.5086669921875,129374.37863898277
63,2019-04-30,SELL,NVDA,16497,4.451748847961426,202814.8793838024
64,2019-04-30,BUY,TSLA,12598,16.097999572753906,12.280766248703003
65,2019-05-18,SELL,TSLA,12598,14.0686674118042,177249.352820158
66,2019-05-31,BUY,NVDA,34198,3.4572553634643555,59018.13390040398
67,2019-05-31,BUY,TSLA,4703,12.54800033569336,4.8883216381073
68,2019-06-28,SELL,TSLA,3144,14.855999946594238,46712.15215373039
69,2019-06-28,BUY,NVDA,11514,4.056701183319092,3.294728994369507
70,2019-07-31,SELL,NVDA,832,4.3604021072387695,3631.1492822170258
71,2019-07-31,BUY,TSLA,224,16.150667190551758,13.399831533432007
72,2019-08-16,SELL,TSLA,1783,14.37600040435791,25645.808552503586
73,2019-08-30,BUY,NVDA,317,4.154504776000977,24328.830538511276
74,2019-08-30,BUY,TSLA,1645,14.780667304992676,14.632821798324585
75,2019-09-30,SELL,NVDA,1830,4.272920608520508,7834.077535390854
76,2019-09-30,BUY,TSLA,485,16.142000198364258,5.207439184188843
77,2019-10-31,SELL,TSLA,830,21.000667572021484,17435.76152396202
78,2019-10-31,BUY,NFLX,12,291.45001220703125,13938.361377477646
79,2019-10-31,BUY,NVDA,2734,5.05008602142334,131.42619490623474
80,2019-11-29,SELL,TSLA,1300,22.086000442504883,28843.226770162582
81,2019-11-29,BUY,NFLX,10,315.92999267578125,25683.92684340477
82,2019-11-29,BUY,NVDA,4674,5.43322229385376,289.04584193229675
83,2019-12-31,SELL,NFLX,2,323.30999755859375,935.6658370494843
84,2019-12-31,SELL,NVDA,10503,5.783752918243408,61682.42273736
85,2019-12-31,BUY,CSCO,1514,40.72335433959961,27.264267206192017
